16:50:00.185194 IP 112.26.0.8.45702 > 112.26.0.1.targus-getdata1: Flags [S], seq 1292207928, win 65535, options [mss 1460,sackOK,TS val 4294896768 ecr 0,nop,wscale 6,mptcp capable csum {0x107f01c1446bf991}], length 0
16:50:00.205118 IP 112.26.0.8.45702 > 112.26.0.1.targus-getdata1: Flags [S], seq 1292207928, win 65535, options [mss 1460,sackOK,TS val 4294896768 ecr 0,nop,wscale 6,mptcp capable csum {0x107f01c1446bf991}], length 0
16:50:00.220134 IP 112.26.0.8.45702 > 112.26.0.1.targus-getdata1: Flags [S], seq 1292207928, win 65535, options [mss 1460,sackOK,TS val 4294896768 ecr 0,nop,wscale 6,mptcp capable csum {0x107f01c1446bf991}], length 0
16:50:00.617027 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.45702: Flags [S.], seq 2466069190, ack 1292207929, win 65535, options [mss 1460,sackOK,TS val 155939 ecr 4294896768,nop,wscale 6,mptcp capable csum {0x62458052d89ef63b}], length 0
16:50:00.620357 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.45702: Flags [S.], seq 2466069190, ack 1292207929, win 65535, options [mss 1460,sackOK,TS val 155939 ecr 4294896768,nop,wscale 6,mptcp capable csum {0x62458052d89ef63b}], length 0
16:50:00.696082 IP 112.26.0.8.45702 > 112.26.0.1.targus-getdata1: Flags [R], seq 1292207929, win 0, length 0
16:50:00.696300 IP 112.26.0.8.45702 > 112.26.0.1.targus-getdata1: Flags [R], seq 1292207929, win 0, length 0
16:50:37.474519 IP 112.26.0.8.45706 > 112.26.0.1.targus-getdata1: Flags [.], seq 2148327431:2148328859, ack 1846513222, win 4107, options [nop,nop,TS val 4294934108 ecr 192630,mptcp dss ack 1818309187 seq 1401882823 subseq 382742 len 1428 csum 0x17fa], length 1428
16:50:37.511654 IP 112.26.0.8.45706 > 112.26.0.1.targus-getdata1: Flags [.], seq 4294945876:4294947304, ack 1, win 4107, options [nop,nop,TS val 4294933775 ecr 192150,mptcp dss ack 1818309187 seq 1401821419 subseq 361322 len 1428 csum 0xacf4], length 1428
16:50:37.585164 IP 112.26.0.8.45706 > 112.26.0.1.targus-getdata1: Flags [.], seq 1428:2856, ack 1, win 4107, options [nop,nop,TS val 4294934120 ecr 192698,mptcp dss ack 1818309187 seq 1401884251 subseq 384170 len 1428 csum 0x37a4], length 1428
16:50:37.598457 IP 112.26.0.8.45706 > 112.26.0.1.targus-getdata1: Flags [.], seq 4294947304:4294948732, ack 1, win 4107, options [nop,nop,TS val 4294933775 ecr 192150,mptcp dss ack 1818309187 seq 1401822847 subseq 362750 len 1428 csum 0x89d1], length 1428
16:50:37.664070 IP 112.26.0.8.45706 > 112.26.0.1.targus-getdata1: Flags [.], seq 4294958728:4294960156, ack 1, win 4107, options [nop,nop,TS val 4294934326 ecr 192848,mptcp dss ack 1818309187 seq 1401848551 subseq 374174 len 1428 csum 0x920c], length 1428
16:50:37.697251 IP 112.26.0.8.45706 > 112.26.0.1.targus-getdata1: Flags [.], seq 2856:4284, ack 1, win 4107, options [nop,nop,TS val 4294934326 ecr 192848,mptcp dss ack 1818309187 seq 1401891391 subseq 385598 len 1428 csum 0x63a], length 1428
16:50:37.764710 IP 112.26.0.8.45706 > 112.26.0.1.targus-getdata1: Flags [.], seq 4284:5712, ack 1, win 4107, options [nop,nop,TS val 4294934391 ecr 192939,mptcp dss ack 1818309187 seq 1401894247 subseq 387026 len 1428 csum 0x3acf], length 1428
16:50:37.770301 IP 112.26.0.8.45706 > 112.26.0.1.targus-getdata1: Flags [.], seq 4294963012:4294964440, ack 1, win 4107, options [nop,nop,TS val 4294933979 ecr 192335,mptcp dss ack 1818309187 seq 1401872827 subseq 378458 len 1428 csum 0x2a47], length 1428
16:50:37.846868 IP 112.26.0.8.45706 > 112.26.0.1.targus-getdata1: Flags [.], seq 4294964440:4294965868, ack 1, win 4107, options [nop,nop,TS val 4294934047 ecr 192543,mptcp dss ack 1818309187 seq 1401877111 subseq 379886 len 1428 csum 0xdab3], length 1428
16:50:38.001481 IP 112.26.0.8.45706 > 112.26.0.1.targus-getdata1: Flags [.], seq 4294965868:0, ack 1, win 4107, options [nop,nop,TS val 4294934047 ecr 192543,mptcp dss ack 1818309187 seq 1401878539 subseq 381314 len 1428 csum 0x54a1], length 1428
16:50:38.028698 IP 112.26.0.8.45706 > 112.26.0.1.targus-getdata1: Flags [.], seq 4294961584:4294963012, ack 1, win 4107, options [nop,nop,TS val 4294934686 ecr 193152,mptcp dss ack 1818309187 seq 1401857119 subseq 377030 len 1428 csum 0x70ad], length 1428
