16:50:02.660270 IP 112.26.2.8.38785 > 112.26.2.1.targus-getdata1: Flags [S], seq 657739806, win 65535, options [mss 1460,sackOK,TS val 4294899301 ecr 0,nop,wscale 6,mptcp join id 4 token 0x92d88ed4 nonce 0x84b6fa78], length 0
16:50:02.731613 IP 112.26.2.8.38785 > 112.26.2.1.targus-getdata1: Flags [S], seq 657739806, win 65535, options [mss 1460,sackOK,TS val 4294899301 ecr 0,nop,wscale 6,mptcp join id 4 token 0x92d88ed4 nonce 0x84b6fa78], length 0
16:50:02.786113 IP 112.26.2.8.38785 > 112.26.2.1.targus-getdata1: Flags [S], seq 657739806, win 65535, options [mss 1460,sackOK,TS val 4294899301 ecr 0,nop,wscale 6,mptcp join id 4 token 0x92d88ed4 nonce 0x84b6fa78], length 0
16:50:02.928263 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [S.], seq 1721471861, ack 657739807, win 65535, options [mss 1460,sackOK,TS val 158427 ecr 4294899301,nop,wscale 6,mptcp join id 4 hmac 0x3a4b3d600167b7f8 nonce 0xb3b48341], length 0
16:50:02.930937 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [S.], seq 1721471861, ack 657739807, win 65535, options [mss 1460,sackOK,TS val 158427 ecr 4294899301,nop,wscale 6,mptcp join id 4 hmac 0x3a4b3d600167b7f8 nonce 0xb3b48341], length 0
16:50:02.932671 IP 112.26.2.8.38785 > 112.26.2.1.targus-getdata1: Flags [.], ack 1, win 2738, options [nop,nop,TS val 4294899597 ecr 158427,mptcp join hmac 0xc9a99c086f5813f7f516b6943c22ede8ec224d56], length 0
16:50:03.027888 IP 112.26.2.8.38785 > 112.26.2.1.targus-getdata1: Flags [.], ack 1, win 2738, options [nop,nop,TS val 4294899597 ecr 158427,mptcp join hmac 0xc9a99c086f5813f7f516b6943c22ede8ec224d56], length 0
16:53:04.196309 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.39917: Flags [R.], seq 3362881331, ack 1562158500, win 24505, options [nop,nop,TS val 339773 ecr 4294901631,nop,nop,sack 1 {1429:4285},mptcp dss ack 1407914695], length 0
16:53:04.198284 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.39917: Flags [R.], seq 0, ack 1, win 24505, options [nop,nop,TS val 339773 ecr 4294901631,nop,nop,sack 1 {1429:4285},mptcp dss ack 1407914695], length 0
16:53:05.178236 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 1:2, ack 1, win 4017, options [nop,nop,TS val 340772 ecr 4294899597,mptcp dss ack 1760099987 seq 2057990148 subseq 1 len 1 csum 0x50ee], length 1
16:53:05.180143 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 1:2, ack 1, win 4017, options [nop,nop,TS val 340772 ecr 4294899597,mptcp dss ack 1760099987 seq 2057990148 subseq 1 len 1 csum 0x50ee], length 1
16:53:05.655474 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 2:6, ack 1, win 4017, options [nop,nop,TS val 341226 ecr 4294899597,mptcp dss ack 1760100210 seq 2057990149 subseq 2 len 4 csum 0x5d0c], length 4
16:53:05.659891 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 2:6, ack 1, win 4017, options [nop,nop,TS val 341226 ecr 4294899597,mptcp dss ack 1760100210 seq 2057990149 subseq 2 len 4 csum 0x5d0c], length 4
16:53:05.961015 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 2:6, ack 1, win 4017, options [nop,nop,TS val 341512 ecr 4294899597,mptcp dss ack 1760100210 seq 2057990149 subseq 2 len 4 csum 0x5d0c], length 4
16:53:05.962918 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 2:6, ack 1, win 4017, options [nop,nop,TS val 341512 ecr 4294899597,mptcp dss ack 1760100210 seq 2057990149 subseq 2 len 4 csum 0x5d0c], length 4
16:53:06.696064 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 1:2, ack 1, win 4017, options [nop,nop,TS val 342272 ecr 4294899597,mptcp dss ack 1760100210 seq 2057990148 subseq 1 len 1 csum 0x50ee], length 1
16:53:06.698948 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 1:2, ack 1, win 4017, options [nop,nop,TS val 342272 ecr 4294899597,mptcp dss ack 1760100210 seq 2057990148 subseq 1 len 1 csum 0x50ee], length 1
16:53:06.835262 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [F.], seq 6, ack 1, win 4017, options [nop,nop,TS val 342471 ecr 4294899597,mptcp dss ack 1760100211], length 0
16:53:06.839516 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [F.], seq 6, ack 1, win 4017, options [nop,nop,TS val 342471 ecr 4294899597,mptcp dss ack 1760100211], length 0
16:53:08.211031 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 1:2, ack 1, win 4017, options [nop,nop,TS val 343808 ecr 4294899597,mptcp dss ack 1760100212 seq 2057990148 subseq 1 len 1 csum 0x50ee], length 1
16:53:08.212939 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 1:2, ack 1, win 4017, options [nop,nop,TS val 343808 ecr 4294899597,mptcp dss ack 1760100212 seq 2057990148 subseq 1 len 1 csum 0x50ee], length 1
16:53:11.234697 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 1:2, ack 1, win 4017, options [nop,nop,TS val 346816 ecr 4294899597,mptcp dss ack 1760100212 seq 2057990148 subseq 1 len 1 csum 0x50ee], length 1
16:53:11.236605 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 1:2, ack 1, win 4017, options [nop,nop,TS val 346816 ecr 4294899597,mptcp dss ack 1760100212 seq 2057990148 subseq 1 len 1 csum 0x50ee], length 1
16:53:17.175033 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 1:2, ack 1, win 4017, options [nop,nop,TS val 352768 ecr 4294899597,mptcp dss ack 1760100212 seq 2057990148 subseq 1 len 1 csum 0x50ee], length 1
16:53:17.176952 IP 112.26.2.1.targus-getdata1 > 112.26.2.8.38785: Flags [P.], seq 1:2, ack 1, win 4017, options [nop,nop,TS val 352768 ecr 4294899597,mptcp dss ack 1760100212 seq 2057990148 subseq 1 len 1 csum 0x50ee], length 1

