17:16:35.758881 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [S.], seq 1781188362, ack 3938161820, win 65535, options [mss 1460,sackOK,TS val 3280156 ecr 3060063,nop,wscale 6,mptcp capable csum {0x5d07cc395fa8dd93}], length 0
17:16:35.779537 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [S.], seq 1781188362, ack 3938161820, win 65535, options [mss 1460,sackOK,TS val 3280156 ecr 3060063,nop,wscale 6,mptcp capable csum {0x5d07cc395fa8dd93}], length 0
17:16:35.782843 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [S.], seq 1781188362, ack 3938161820, win 65535, options [mss 1460,sackOK,TS val 3280156 ecr 3060063,nop,wscale 6,mptcp capable csum {0x5d07cc395fa8dd93}], length 0
17:16:35.788261 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], ack 1, win 1339, options [nop,nop,TS val 3280187 ecr 3060180,mptcp add-addr id 3 112.26.1.1,mptcp dss ack 4086075562], length 0
17:16:35.814364 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], ack 1, win 1339, options [nop,nop,TS val 3280187 ecr 3060180,mptcp add-addr id 5 112.26.3.1,mptcp dss ack 4086075562], length 0
17:16:35.820451 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], ack 1, win 1339, options [nop,nop,TS val 3280187 ecr 3060180,mptcp add-addr id 3 112.26.1.1,mptcp dss ack 4086075562], length 0
17:16:35.858781 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], ack 1, win 1339, options [nop,nop,TS val 3280187 ecr 3060180,mptcp add-addr id 3 112.26.1.1,mptcp dss ack 4086075562], length 0
17:16:35.876924 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], ack 1, win 1339, options [nop,nop,TS val 3280187 ecr 3060180,mptcp add-addr id 6 112.26.2.1,mptcp dss ack 4086075562], length 0
17:16:35.964851 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 1:1429, ack 1, win 1339, options [nop,nop,TS val 3280193 ecr 3060180,mptcp dss ack 4086075562 seq 1489178716 subseq 1 len 1428 csum 0x3694], length 1428
17:16:35.966821 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], ack 1, win 1339, options [nop,nop,TS val 3280187 ecr 3060180,mptcp add-addr id 5 112.26.3.1,mptcp dss ack 4086075562], length 0
17:16:35.976695 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 1429:2857, ack 1, win 1339, options [nop,nop,TS val 3280193 ecr 3060180,mptcp dss ack 4086075562 seq 1489180144 subseq 1429 len 1428 csum 0x55e2], length 1428
17:16:36.000424 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], ack 1, win 1339, options [nop,nop,TS val 3280187 ecr 3060180,mptcp add-addr id 5 112.26.3.1,mptcp dss ack 4086075562], length 0
17:16:36.011670 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [P.], seq 2857:4097, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489181572 subseq 2857 len 1240 csum 0x96b4], length 1240
17:16:36.074244 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], ack 1, win 1339, options [nop,nop,TS val 3280187 ecr 3060180,mptcp add-addr id 6 112.26.2.1,mptcp dss ack 4086075562], length 0
17:16:36.076909 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 4097:5525, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489182812 subseq 4097 len 1428 csum 0x8aed], length 1428
17:16:36.081774 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], ack 1, win 1339, options [nop,nop,TS val 3280187 ecr 3060180,mptcp add-addr id 6 112.26.2.1,mptcp dss ack 4086075562], length 0
17:16:36.092723 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 5525:6953, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489184240 subseq 5525 len 1428 csum 0xe762], length 1428
17:16:36.167781 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 6953:8381, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489185668 subseq 6953 len 1428 csum 0x812f], length 1428
17:16:36.173005 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 8381:9809, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489187096 subseq 8381 len 1428 csum 0x50c1], length 1428
17:16:36.257177 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 1:1429, ack 1, win 1339, options [nop,nop,TS val 3280193 ecr 3060180,mptcp dss ack 4086075562 seq 1489178716 subseq 1 len 1428 csum 0x3694], length 1428
17:16:36.259460 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 1:1429, ack 1, win 1339, options [nop,nop,TS val 3280193 ecr 3060180,mptcp dss ack 4086075562 seq 1489178716 subseq 1 len 1428 csum 0x3694], length 1428
17:16:36.274355 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 9809:11237, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489188524 subseq 9809 len 1428 csum 0x492d], length 1428
17:16:36.294006 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 1429:2857, ack 1, win 1339, options [nop,nop,TS val 3280193 ecr 3060180,mptcp dss ack 4086075562 seq 1489180144 subseq 1429 len 1428 csum 0x55e2], length 1428
17:16:36.297551 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 12665:14093, ack 1, win 1339, options [nop,nop,TS val 3280257 ecr 3060180,mptcp dss ack 4086075562 seq 1489191380 subseq 12665 len 1428 csum 0xbab0], length 1428
17:16:36.302781 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 1429:2857, ack 1, win 1339, options [nop,nop,TS val 3280193 ecr 3060180,mptcp dss ack 4086075562 seq 1489180144 subseq 1429 len 1428 csum 0x55e2], length 1428
17:16:36.374247 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [P.], seq 2857:4097, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489181572 subseq 2857 len 1240 csum 0x96b4], length 1240
17:16:36.389305 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [P.], seq 2857:4097, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489181572 subseq 2857 len 1240 csum 0x96b4], length 1240
17:16:36.390381 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 14093:15521, ack 1, win 1339, options [nop,nop,TS val 3280684 ecr 3060658,mptcp dss ack 4086075562 seq 1489192808 subseq 14093 len 1428 csum 0xd4a], length 1428
17:16:36.457390 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 15521:16949, ack 1, win 1339, options [nop,nop,TS val 3280763 ecr 3060701,mptcp dss ack 4086075562 seq 1489194236 subseq 15521 len 1428 csum 0x78a5], length 1428
17:16:36.462466 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 4097:5525, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489182812 subseq 4097 len 1428 csum 0x8aed], length 1428
17:16:36.466789 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 4097:5525, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489182812 subseq 4097 len 1428 csum 0x8aed], length 1428
17:16:36.489324 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 16949:18377, ack 1, win 1339, options [nop,nop,TS val 3280799 ecr 3060778,mptcp dss ack 4086075562 seq 1489195664 subseq 16949 len 1428 csum 0x61f9], length 1428
17:16:36.495105 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 5525:6953, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489184240 subseq 5525 len 1428 csum 0xe762], length 1428
17:16:36.499403 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 5525:6953, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489184240 subseq 5525 len 1428 csum 0xe762], length 1428
17:16:36.555548 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 18377:19805, ack 1, win 1339, options [nop,nop,TS val 3280877 ecr 3060864,mptcp dss ack 4086075562 seq 1489197092 subseq 18377 len 1428 csum 0x6b45], length 1428
