20:12:17.758810 IP 112.26.0.8.33728 > 112.26.0.1.45881: Flags [S], seq 503274601, win 65535, options [mss 1460,sackOK,TS val 4294819233 ecr 0,nop,wscale 6,mptcp capable csum {0xe03f2f5bd5989db8}], length 0
20:12:17.776672 IP 112.26.0.8.33728 > 112.26.0.1.45881: Flags [S], seq 503274601, win 65535, options [mss 1460,sackOK,TS val 4294819233 ecr 0,nop,wscale 6,mptcp capable csum {0xe03f2f5bd5989db8}], length 0
20:12:17.842757 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [S.], seq 2940828125, ack 503274602, win 65535, options [mss 1460,sackOK,TS val 76724 ecr 4294819233,nop,wscale 6,mptcp capable csum {0x87139cfff9e67aae}], length 0
20:12:18.645894 IP 112.26.0.8.33728 > 112.26.0.1.45881: Flags [S], seq 503274601, win 65535, options [mss 1460,sackOK,TS val 4294820288 ecr 0,nop,wscale 6,mptcp capable csum {0xe03f2f5bd5989db8}], length 0
20:12:18.646748 IP 112.26.0.8.33728 > 112.26.0.1.45881: Flags [S], seq 503274601, win 65535, options [mss 1460,sackOK,TS val 4294820288 ecr 0,nop,wscale 6,mptcp capable csum {0xe03f2f5bd5989db8}], length 0
20:12:18.654230 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [S.], seq 2940828125, ack 503274602, win 65535, options [mss 1460,sackOK,TS val 77594 ecr 4294819233,nop,wscale 6,mptcp capable csum {0x87139cfff9e67aae}], length 0
20:12:18.853617 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], ack 1, win 1339, options [nop,nop,TS val 77799 ecr 4294820485,mptcp add-addr id 3 112.26.1.1,mptcp dss ack 3262968525], length 0
20:12:18.890324 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], ack 1, win 1339, options [nop,nop,TS val 77799 ecr 4294820485,mptcp add-addr id 4 112.26.2.1,mptcp dss ack 3262968525], length 0
20:12:18.959532 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], ack 1, win 1339, options [nop,nop,TS val 77799 ecr 4294820485,mptcp add-addr id 6 112.26.3.1,mptcp dss ack 3262968525], length 0
20:12:18.977763 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 1:1429, ack 1, win 1339, options [nop,nop,TS val 77805 ecr 4294820485,mptcp dss ack 3262968525 seq 1976358045 subseq 1 len 1428 csum 0xaf6e], length 1428
20:12:19.036272 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 1429:2857, ack 1, win 1339, options [nop,nop,TS val 77805 ecr 4294820485,mptcp dss ack 3262968525 seq 1976359473 subseq 1429 len 1428 csum 0xcebc], length 1428
20:12:19.050459 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [P.], seq 2857:4097, ack 1, win 1339, options [nop,nop,TS val 77805 ecr 4294820485,mptcp dss ack 3262968525 seq 1976360901 subseq 2857 len 1240 csum 0xf8f], length 1240
20:12:19.131807 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 4097:5525, ack 1, win 1339, options [nop,nop,TS val 77805 ecr 4294820485,mptcp dss ack 3262968525 seq 1976362141 subseq 4097 len 1428 csum 0x3c8], length 1428
20:12:19.154192 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 5525:6953, ack 1, win 1339, options [nop,nop,TS val 77806 ecr 4294820485,mptcp dss ack 3262968525 seq 1976363569 subseq 5525 len 1428 csum 0x603d], length 1428
20:12:19.239498 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 6953:8381, ack 1, win 1339, options [nop,nop,TS val 77806 ecr 4294820485,mptcp dss ack 3262968525 seq 1976364997 subseq 6953 len 1428 csum 0xfa09], length 1428
20:12:19.262387 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 8381:9809, ack 1, win 1339, options [nop,nop,TS val 77806 ecr 4294820485,mptcp dss ack 3262968525 seq 1976366425 subseq 8381 len 1428 csum 0xc99b], length 1428
20:12:19.344512 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 9809:11237, ack 1, win 1339, options [nop,nop,TS val 77806 ecr 4294820485,mptcp dss ack 3262968525 seq 1976367853 subseq 9809 len 1428 csum 0xc207], length 1428
20:12:19.535454 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 12665:14093, ack 1, win 1339, options [nop,nop,TS val 78424 ecr 4294820485,mptcp dss ack 3262968525 seq 1976370709 subseq 12665 len 1428 csum 0x338b], length 1428
20:12:19.749376 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 14093:15521, ack 1, win 1339, options [nop,nop,TS val 78695 ecr 4294820945,mptcp dss ack 3262968525 seq 1976372137 subseq 14093 len 1428 csum 0x8624], length 1428
20:12:19.763544 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 15521:16949, ack 1, win 1339, options [nop,nop,TS val 78695 ecr 4294820945,mptcp dss ack 3262968525 seq 1976373565 subseq 15521 len 1428 csum 0xf17f], length 1428
20:12:19.848690 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 16949:18377, ack 1, win 1339, options [nop,nop,TS val 78794 ecr 4294820964,mptcp dss ack 3262968525 seq 1976374993 subseq 16949 len 1428 csum 0xdad3], length 1428
20:12:19.866270 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 18377:19805, ack 1, win 1339, options [nop,nop,TS val 78794 ecr 4294820964,mptcp dss ack 3262968525 seq 1976376421 subseq 18377 len 1428 csum 0xe41f], length 1428
20:12:20.040959 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 19805:21233, ack 1, win 1339, options [nop,nop,TS val 78986 ecr 4294821163,mptcp dss ack 3262968525 seq 1976377849 subseq 19805 len 1428 csum 0xa3c1], length 1428
20:12:20.052904 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 21233:22661, ack 1, win 1339, options [nop,nop,TS val 78986 ecr 4294821163,mptcp dss ack 3262968525 seq 1976379277 subseq 21233 len 1428 csum 0xecc1], length 1428
20:12:20.154955 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 22661:24089, ack 1, win 1339, options [nop,nop,TS val 79023 ecr 4294821250,mptcp dss ack 3262968525 seq 1976380705 subseq 22661 len 1428 csum 0x495c], length 1428
20:12:20.182197 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 19805:21233, ack 1, win 1339, options [nop,nop,TS val 78986 ecr 4294821163,mptcp dss ack 3262968525 seq 1976377849 subseq 19805 len 1428 csum 0xa3c1], length 1428
20:12:20.253767 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 24089:25517, ack 1, win 1339, options [nop,nop,TS val 79023 ecr 4294821250,mptcp dss ack 3262968525 seq 1976382133 subseq 24089 len 1428 csum 0xe12a], length 1428
20:12:20.257736 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 19805:21233, ack 1, win 1339, options [nop,nop,TS val 78986 ecr 4294821163,mptcp dss ack 3262968525 seq 1976377849 subseq 19805 len 1428 csum 0xa3c1], length 1428
20:12:20.264627 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 21233:22661, ack 1, win 1339, options [nop,nop,TS val 78986 ecr 4294821163,mptcp dss ack 3262968525 seq 1976379277 subseq 21233 len 1428 csum 0xecc1], length 1428
20:12:20.267699 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 21233:22661, ack 1, win 1339, options [nop,nop,TS val 78986 ecr 4294821163,mptcp dss ack 3262968525 seq 1976379277 subseq 21233 len 1428 csum 0xecc1], length 1428
20:12:20.342708 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 25517:26945, ack 1, win 1339, options [nop,nop,TS val 79287 ecr 4294821366,mptcp dss ack 3262968525 seq 1976383561 subseq 25517 len 1428 csum 0xfb28], length 1428
20:12:20.358355 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 22661:24089, ack 1, win 1339, options [nop,nop,TS val 79023 ecr 4294821250,mptcp dss ack 3262968525 seq 1976380705 subseq 22661 len 1428 csum 0x495c], length 1428
20:12:20.361861 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 22661:24089, ack 1, win 1339, options [nop,nop,TS val 79023 ecr 4294821250,mptcp dss ack 3262968525 seq 1976380705 subseq 22661 len 1428 csum 0x495c], length 1428
20:12:20.371494 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 26945:28373, ack 1, win 1339, options [nop,nop,TS val 79287 ecr 4294821366,mptcp dss ack 3262968525 seq 1976384989 subseq 26945 len 1428 csum 0x8125], length 1428
20:12:20.447247 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 24089:25517, ack 1, win 1339, options [nop,nop,TS val 79023 ecr 4294821250,mptcp dss ack 3262968525 seq 1976382133 subseq 24089 len 1428 csum 0xe12a], length 1428
20:12:20.450276 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 24089:25517, ack 1, win 1339, options [nop,nop,TS val 79023 ecr 4294821250,mptcp dss ack 3262968525 seq 1976382133 subseq 24089 len 1428 csum 0xe12a], length 1428
