20:39:27.394094 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [S], seq 2263806240, win 65535, options [mss 1460,sackOK,TS val 783148 ecr 0,nop,wscale 6,mptcp join id 3 token 0xbaf08251 nonce 0x994c8d18], length 0
20:39:27.447362 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [S], seq 2263806240, win 65535, options [mss 1460,sackOK,TS val 783148 ecr 0,nop,wscale 6,mptcp join id 3 token 0xbaf08251 nonce 0x994c8d18], length 0
20:39:27.725070 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2869940821, win 7300, options [nop,nop,TS val 783491 ecr 1004073,mptcp join hmac 0xa3da383c27000032e8efc1c8d500fb8ad0766c38], length 0
20:39:27.782699 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1, win 7300, options [nop,nop,TS val 783491 ecr 1004073,mptcp join hmac 0xa3da383c27000032e8efc1c8d500fb8ad0766c38], length 0
20:39:27.880074 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1, win 7300, options [nop,nop,TS val 783491 ecr 1004073,mptcp join hmac 0xa3da383c27000032e8efc1c8d500fb8ad0766c38], length 0
20:39:28.098322 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1429, win 7529, options [nop,nop,TS val 783874 ecr 1004416,mptcp dss ack 1969125454], length 0
20:39:28.098743 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1429, win 7529, options [nop,nop,TS val 783874 ecr 1004416,mptcp dss ack 1969125454], length 0
20:39:28.160645 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1429, win 7529, options [nop,nop,TS val 783874 ecr 1004416,mptcp dss ack 1969125454], length 0
20:39:28.246514 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2857, win 7711, options [nop,nop,TS val 784023 ecr 1004416,mptcp dss ack 1969126882], length 0
20:39:28.246886 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2857, win 7711, options [nop,nop,TS val 784023 ecr 1004416,mptcp dss ack 1969126882], length 0
20:39:28.295929 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2857, win 7711, options [nop,nop,TS val 784023 ecr 1004416,mptcp dss ack 1969126882], length 0
20:39:28.393101 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 4285, win 7848, options [nop,nop,TS val 784156 ecr 1004416,mptcp dss ack 1969134022], length 0
20:39:28.393429 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 4285, win 7848, options [nop,nop,TS val 784156 ecr 1004416,mptcp dss ack 1969134022], length 0
20:39:28.407236 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 4285, win 7848, options [nop,nop,TS val 784156 ecr 1004416,mptcp dss ack 1969134022], length 0
20:39:28.628838 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 5713, win 8076, options [nop,nop,TS val 784404 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.629195 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 5713, win 8076, options [nop,nop,TS val 784404 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.704360 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 5713, win 8076, options [nop,nop,TS val 784404 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.755620 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 7141, win 8167, options [nop,nop,TS val 784529 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.755926 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 7141, win 8167, options [nop,nop,TS val 784529 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.824533 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 7141, win 8167, options [nop,nop,TS val 784529 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.915682 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 8569, win 8395, options [nop,nop,TS val 784690 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:28.916004 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 8569, win 8395, options [nop,nop,TS val 784690 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.042105 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 9997, win 8578, options [nop,nop,TS val 784817 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.042490 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 9997, win 8578, options [nop,nop,TS val 784817 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.234980 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 11425, win 8760, options [nop,nop,TS val 785010 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.235268 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 11425, win 8760, options [nop,nop,TS val 785010 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.369628 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 8897, options [nop,nop,TS val 785145 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.369941 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 8897, options [nop,nop,TS val 785145 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.495350 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9080, options [nop,nop,TS val 785271 ecr 1004417,nop,nop,sack 1 {14281:15709},mptcp dss ack 1969139734], length 0
20:39:29.495494 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9080, options [nop,nop,TS val 785271 ecr 1004417,nop,nop,sack 1 {14281:15709},mptcp dss ack 1969139734], length 0
20:39:29.627834 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9262, options [nop,nop,TS val 785403 ecr 1004417,nop,nop,sack 1 {14281:17137},mptcp dss ack 1969139734], length 0
20:39:29.628195 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9262, options [nop,nop,TS val 785403 ecr 1004417,nop,nop,sack 1 {14281:17137},mptcp dss ack 1969139734], length 0
20:39:29.740597 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9399, options [nop,nop,TS val 785515 ecr 1004417,nop,nop,sack 1 {14281:18565},mptcp dss ack 1969139734], length 0
20:39:29.741014 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9399, options [nop,nop,TS val 785515 ecr 1004417,nop,nop,sack 1 {14281:18565},mptcp dss ack 1969139734], length 0
20:39:29.845378 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9536, options [nop,nop,TS val 785619 ecr 1004417,nop,nop,sack 1 {14281:19993},mptcp dss ack 1969139734], length 0
20:39:29.845692 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9536, options [nop,nop,TS val 785619 ecr 1004417,nop,nop,sack 1 {14281:19993},mptcp dss ack 1969139734], length 0
20:39:29.875633 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 8569, win 8395, options [nop,nop,TS val 784690 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.982553 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9673, options [nop,nop,TS val 785758 ecr 1004417,nop,nop,sack 1 {14281:21421},mptcp dss ack 1969139734], length 0
20:39:29.982836 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9673, options [nop,nop,TS val 785758 ecr 1004417,nop,nop,sack 1 {14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.021422 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 9997, win 8578, options [nop,nop,TS val 784817 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:30.122745 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 11425, win 8760, options [nop,nop,TS val 785010 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:30.181378 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9901, options [nop,nop,TS val 785957 ecr 1004417,nop,nop,sack 2 {22849:24277}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.181695 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9901, options [nop,nop,TS val 785957 ecr 1004417,nop,nop,sack 2 {22849:24277}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.219466 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 8897, options [nop,nop,TS val 785145 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:30.314831 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10129, options [nop,nop,TS val 786091 ecr 1004417,nop,nop,sack 2 {22849:25705}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.315166 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10129, options [nop,nop,TS val 786091 ecr 1004417,nop,nop,sack 2 {22849:25705}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.333760 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9080, options [nop,nop,TS val 785271 ecr 1004417,nop,nop,sack 1 {14281:15709},mptcp dss ack 1969139734], length 0
20:39:30.404641 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9262, options [nop,nop,TS val 785403 ecr 1004417,nop,nop,sack 1 {14281:17137},mptcp dss ack 1969139734], length 0
20:39:30.497991 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10266, options [nop,nop,TS val 786273 ecr 1004417,nop,nop,sack 2 {22849:27133}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.498287 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10266, options [nop,nop,TS val 786273 ecr 1004417,nop,nop,sack 2 {22849:27133}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.552277 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9399, options [nop,nop,TS val 785515 ecr 1004417,nop,nop,sack 1 {14281:18565},mptcp dss ack 1969139734], length 0
20:39:30.592920 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10403, options [nop,nop,TS val 786367 ecr 1004417,nop,nop,sack 2 {22849:28561}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.593248 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10403, options [nop,nop,TS val 786367 ecr 1004417,nop,nop,sack 2 {22849:28561}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.724030 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9536, options [nop,nop,TS val 785619 ecr 1004417,nop,nop,sack 1 {14281:19993},mptcp dss ack 1969139734], length 0
